ID,Date ,Article name ,Publisher,Language,Location of published article ,Anecdote text,Author,Type of language,Keywords,Notes,Links,Contributor
0015FC,12/17/1934,Breviario de belleza ,El Continental ,Spanish,"El Paso, TX","""Aun aquellas mujeres que se creen fear, si siguen cuidadosamente los consejos que damos en seguida, se harán agradables a la vista. Muchas mujeres famosas por su belleza eran hasta hace poco de un aspecto vulgar y hasta desagradable. Pero han conseguido hacerse hermosasa debido a aquel encanto que produce una piel fresca, una ceja delineada, una cabellera bien cuidada, unos labos bien dibujados, unas manos bien arregladas, unas piernas finas y delicadas y todo esto puede conseguirse mediante consejos prácticos y sencillos que enontrará used en estas líneas...""",N/A,beauty standards,"Mujeres, feas, consejos, famosas, belleza, vulgar, desagradable, hermosas,encanto, piel fresca, ceja delineada, cabellera bien cuidada, labios bien dibujados, manos bien arregladas, piernas finas, delicadas, cuide usted su piel, rostro, cuidarla, ","This short article starts by listing all the different things in which women should be focusing on to beautify and then continues on to give ""tips"" on how to achieve these standards",,
0016FC,10/13/1906,La copla ,Clarin del Norte,Spanish,"El Paso, TX","""La mujer que engaña a un hombre, y le engaña sin razon, merece tres puñaladas en medio del corazón"", ""Y por que había de engañar á su marido, á su Lorenzo, que la adoraba y que en Valencia, donde se cultivan los más hermosos jardines del mundo, pasaba por el más celoso de los hombres, como ella pasaba por la más honrada de las mujeres?"", ""Aquella mujer llevaba sus escrupulos hasta el extremo de ocultar siempre su rostro entre los pliegues de su mantón , á pretexto de preservar la tez de los rigores del sol y de los efectos de la brisa marítima; pero en realidad, era para que Lorenzo calmase el furor de sus celos"", ""Qué creen ustedes  que hacía Lorenza ante tantos hombres reunidos? Fingía que le dolian las muelas y se cubría la cara con un pañuelo de seda negro"", ""Lorenza fué el modelo de la fidelidad conyugal y Lorenzo el tipo más acabado del hombre celoso y enamorado de su mujer"", ""Esta es la primera y última vez que te hago sufrir de veras, mi adorado Lorenzo!"", ""Lorenza saco debajo de la almohada una navaja, se la dió con una mano á su marido, mientras que con la otra se descubría el pecho. Y Lorenzo cogió el arma, y por tres veces lo hundio en medio del corazón de su mujer,mientras la infeliz se moría murmurando la copla valenciana y mirando á su marido con sus grandes y angelicales ojos""",Juan Rechipen,"marriage, romanticized, violent","Mujer, engaña, hombre, puñaladas, corazón, amor, celos, hija, Lorenza, Lorenzo, niña, beso, afecto, chiquilla, dominado, amarla eternamente, vengaría, cruel, muchacha, ardiente beso, dulce, melancolica voz, engañar, marido, fidelidad conyugal, adoraba, escrupulos, hombres, adorado, navaja, pecho, infeliz, daño, muera contenta, arma",,,
0017FC,7/21/1906,Para las novias ,Clarin del Norte,Spanish ,"El Paso, TX","""Una niña enamorada no debe jurar fe á un hombre si no está cierta de que sin él no puede vivir"", ""Hay niñas mal educadas que le otorgan el ""sí"" á un hombre por puro capricho sin reflexionar que el corazón no es un juguete"", ""Despues de comprometida la mujer debe pensar en la responsabilidad que ha contraido"", ""La mujer por si misma ha de educarse para llenar los deberes de esposa"", ""El conocimiento de los quehaceres domésticos es la mitad de la felicidad para una dueña de casa"", ""Como el futuro esposo, el hombre que se quiere y se honra""",N/A,marriage ,"niña, enamorada, hombre, jóvenes, novios, moral, mal educadas, hombre, corazón, comprometida, responsabilidad, deberes, esposa, dueña, prometido, ama, prometido, honra, obligación",,,
0018FC,,El Clamor Publico,El Clamor Publico,Spanish,"El Paso, TX","""Las mugeres con como los abogados, entre más hablan tienen menos razón"", ""Una tonta hermosa es preferible a una fea discreta"", ""La sonrisa de las mugeres es el pecado y la tentación"", ""Las suegras son los demnonios de la discordia;los hijos los angeles de la reconciliación""",N/A,,"Mujer, reina, matrimonio, amor, ",,,
0019FC,8/29/1897,Pasion por las feas ,El Monitor,Spanish ,"El Paso, TX","""Sentir amante pasión por una cara bonita?Señores se necita tener poca reflexión!"", ""Las mujeres hermosas suelen ser muy orgullosas y siendo así las detesto"", ""Siento simpatia por las feas, su condicion es sencilla"" más que las guapa, ilustrada, si no es por bella nombrada, por su saber maravilla"", ""Vivo en la calle del Gato, cuarenta y siete primero, soy jóven, tengo dinero, buen porvenir, y buen trato. Caserme pronto ofrecí, pero no con guapa y rica, pues yo prefiero una chica que me guste sólo á mí. Y así quien fea se crea venga á verme sin recelo, que las feas son mi anhelo y mi esposa a de ser fea.""",N/A,"Advertisement to find ""ugly wife""","Amante, cara bonita, mujeres, hermosas,detesto, orgullosas, feas, guapa, rica, ","This is an example of manipulation because the man attempted to make the woman who read the advertisement feel insecure and to believe she was ""ugly."" They targeted anxieties and beauty ideals. I believe that if they see a woman who is suitable for them, it will be easier to control and accept their roles as wife and mother, because no one else will accept or want to marry her.""",,
0020FC,7/11/1898,Consejos a una niña,Los Dos Americas,Spanish ,"El Paso, TX","""La mujer es bella a los quince, la inocencia es bella á los cuarentas"", ""Cuando una mujer tropieza el tropezón no esta en la piedra sino en su pie"", ""Las mujeres que tienen miedo no tendran nunca necesidad del valor""",N/A,,"Superioridad, bondad del corazón, mujer, bella, quince, inocencia, valor, mujeres ",,,
0020.1FC,7/11/1898,El corazón,Los Dos Americas,Spanish,"El Paso, TX","""El corazón de una madre es un templo donde se venera Dios en la más alta manifestacion de la naturaleza humana"", ""El corazón de una prostituida es un muladar barrido solo por soplos vertiginosos y deletéreos"",""El corazón de una novia es un altar en el que arde la antorcha divina del amor y flota en el infinito de las ilusiones"", ""El corazón de una coqueta es un prisma de infinitas caras á traves de las cuales todos los incautos ven un mismo iris. La coqueta no tiene corazón es un abismo vacio de todos los afectos"", ""El corazon de una esposa es un dualismo misterioso en que se refunden todos los amores como esposa y como madre""",N/A,"Women as mother, girlfriend,wife, flirty ","Corazón, madre, templo, Dios, prostituida, novia, coqueta, esposa, ",,,
0021FC,02/11/1901,Hunting Daughter,El Paso Daily News,English ,"EL Paso, TX","""He says his daughter is only seventeen, but has the appearance of a fully developed woman"", ""...at least I hope they were, but if I find they are not married I will kill Miller or make them right the wrong he has done by my daughter""",N/A,"objectifying, possesive ",fully developed woman,,,
0022FC,8/17/1901,Daily Budget for Women Menu for a Day ,El Paso Daily News,English ,"El Paso, TX","""A really well dressed woman never goes to extremes. Her very perfection is a lack of conspicuousness"" ",N/A,,"woman, well dressed, perfection, beauty, tact, goodness, rareness",Talks about beauty standards,,
0023FC,4/30/1902,Advertisement Mme. A. Rupert's Face Bleach,El Paso Daily News,English ,"El Paso, TX","""Brightens, clears and beautifies the complexion"", ""Used and reccomended by refined people everywhere"", ""Ask for Mme. Rupert's book, ""How to be. Beautiful"" Free.""",N/A ,,"refined, beautiful, sucessful","beauty standards, advertising geared towards women",,
0024FC,1/15/1920,El Paso Estara Cerrado Para las Cosas Profanas Pero en el Lado Mexicano Habra Cuanto se Necesite Para la Vida Alegre,La Republica ,Spanish,"El Paso, TX","""En Cd. Juárez hay cuanto se necesite para distraerse: juego, vino, y mujeres, que ahi han abierto sus cuarteles, acumulandose centenares de deminodaines que vienen de distintas partes de la republica,a hacer negocios en los mercados fronterizos"", ",N/A,border cities differences,"El Paso, Cd. Juárez, mujeres, cosas profanas ","This article discusses the limits El Paso would put in place to prevent profane behavior, while Juárez would be open for pleasure and entertainment. Allowing people from the United States to seek out these pleasures. ",,
0025FC,06/13/1918,La Biblia y las Mujeres,El Atalaya Bautista,Spanish,"El Paso, TX","""La Biblia contiene muchas y muy importantes enseñanzas que se refieren a la mujer en todas las épocas de su vida, en todas las esferas sociales y en todas las condiciones. En seguida daremos algunas citas bíblicas acerca de las mujeres.""",N/A,"religious, marriage, expectations","mujer, señoritas, virgen, casadas, viudas","This article describes societal expectations through a religious lens, quoting biblical verses to ""prove"" why women should act a certain way",,
0026FC,12/14/1922,"Fiesta De Clausura De La Escuela Fronteriza De Cd. Juarez, Chih.",El Atalaya Bautista,Spanish,"El Paso, TX","""Dos niñas de primer año presentaron después un diálogo titulado: ""Mujeres en Miniatura."" Jugaron a ""las amas de casa"" y criticaron a todas sus vecinas sin perdonarles ni el pelo grifo, ni las narices de perico. La pieza fué una crítica contra la chismografía femenina."" ",N/A,"women as housewives, critique of gossip culture","niñas, mujeres, amas de casa, vecinas, chismografia femenina",Critique from young girls of womens' gossip culture ,,
0027FC,1/17/1891,Variedades: La educacion de las mujeres,El Latino Americano,Spanish,"El Paso, TX","""Los primeros no quieren hijas sabias, por lo regular pedantes, sino mujeres que sepan pegar un botón al chalecó de su papá. Las madres por lo contrario las quieren que no hagan nada."", ""Como se prepara una salsa? Cómo se hace un guiso de cerdo?"", ""Todo el mundo comprende cuán importante es la educacion de las mujeres, puesto que ellas tienen un gran papel, el primero sin duda, en la constitucion de la familia; pero, esa educacion debe limitarse a formar en ellas el buen gusto, la sensibilidad, el orden, es decir, a que emprendan, piensen y sientan con claridad y precision?"", ""Como Madame de Seyona, aconseja no hay cosa mejor que hacer en la educacion femenina, que cultivar las humildes virtudes que le son tan necesarias, la modestia y la piedad! El resto de esa educacion debe ser consagrada a lo que sea de alguna utilidad doméstica"", ""No quiere decir esto que las mujeres deban permanecer boaicas. Una mujer debe saber la historia a grandes rasgos, ciertas ciencias de cuya aplicacion sacará algun fruto, mucha moral, mucha urbanidad, sobre todo;pero no tiene que romperse el alma con la trigometría ó el binomio de Newton y otras cosas semejantes que debe olvidar el día que salga del colegio""",N/A,Woman's education,"Examen, señoritas, examinadas, pólemicas, familia,padres, madres, hijas sabias, no hagan nada, educacion, mujeres, ellas, constitucion de la familia, el buen gusto, la sensibilidad, el orden, emprendan, piensen, sientan, educacion femenina, humildes virtudes, modestia, piedad, doméstica, mujer, ","Education of women through an exam, exam was taken place in France, also references how women shouldn't continue their education once they gradaute they should forget about those big things they learned while studying such as the example of Newton",,
0028FC,11/14/1918,La Mujer Cristiana En El Hogar,El Atalaya Bautista,Spanish,"El Paso, TX","""Un nuevo horizonte brilló entonces, levantándose la mujer del retiro para tomar parte activa en la reconstrucción religiosa y social que operaba el cristianismo."", ""Necesitaba la mujer una fe inteligente donde pudiera dar expansión a su espíritu y esto lo encontró en el Cristianismo.""",,,,,,
0029FC,2/21/1891,Sentencia,El Latino Americano,Spanish ,"El Paso, TX","""Las mujeres reciben tres educaciones: la de sus padres, la de sus maestros y la de sus maridos"", ""Las lágrimas de algunas mujeres reconocen un pretexto, las de otras un finjimiento y las de pocas una causa"", ""Asi como hay mujeres que les pesa la falda de las enaguas y pretenden llevar pantalones, hay tambien individuos que les aprietan los pantalones y desean las enaguas; las primeras son locas, los segundos son canallas"", ""El lo ""pensare"" de las mujeres es como ""el pagaré"" de los tramposos"", ""El vino, las mujeres, y el juego, son tres vicios distintos y una perdicion verdadera"", ""La astucia de la mujer es tan problemática como su edad ",Onateyac,Poetry,"Mujeres, educacion, padres, maestros, maridos, gobiernos, sistemas, lágrimas, pretexto, finjimiento, falda, pretenden, pantalones, locas, canallas, ""lo pensare"", ""el pagaré"", vino, juego, vicios, perdicion, astucia, mujer, problemática, edad","Critique women's way of dressing, comparing her to a bad addiction like gambling and alcoholism, her tears are fake",,
0029.1FC,2/21/1891,Ideas Sueltas,El Latino Americano,Spanish,"El Paso, TX","""Entre la mujer de Esparta y la de Roma, prefiero ... la mujer de su casa"", ""La mujer amada es como la religion: se lo hace creer todo á uno"", ""El corazón de la coqueta es el libro de texto en la cátedra de los tontos"", ""Bailar con una vieja es lo mismo que dar un paseo en burro"", ",Eusebio Blasco,Poetry,"Mujer, casa, amada, religion, corazón, coqueta, tontos, bailar, vieja, burro, ",,,
0030FC,6/16/1906,La mujer ideal,Clarin del norte,Spanish,"El Paso, TX","""Hay mujeres que son transparentes y cuya alma está oculta únicamente por un velo intangible"", ""son deliciosamente dulces y sentimentales"", ""desprenden perfumes de vida, embriaguez de deleite y despiertan emoción angélica"", ""son inefables como amor de madre, tiernas como llanto de niña, serenas como azul  del cielo y ondulantes, suaves y ligeras como onda de agua y como onda de luz"", ",N/A,Poetry,"Mujeres,transparentes, alma, oculta, dotadas, delicadeza, exquisitas, blancura sagrada, dulces, sentimentales, armoniosas, confusas, indetenibles angélica, amor de madre,tiernas, llanto de niña, serenas, suaves, ligeras, flores, solloza, deliciosamente",Este articulo menciona la mujer ideal y describe las caracteristicas emocionales que ella debe de tener con elementos de naturaleza,,
0031FC,1/17/1925,La educación y la hermosura,El cronista del valle,Spanish,"El Paso, TX",,,,"Feas, bonitas, faldas, atenciones, miramientos, cara, torzón, angel, bello sexo, educación, cortés, mujeres, linda, muchacha, fresca, flor, alegre, flechadora, jóvenes, señorita, bonitas, educado, mujer guapa, feas, ellas, nalga, malcriadas, decidoras, lástima, mujeres bonitas",,,
0032FC,7/10/1897,La mujer,El monitor,Spanish,"El Paso, TX",,,,,,,
0033FC,4/24/1913,La mujer ideal,La prensa,Spanish,"El Paso, TX",,,,,,,
0034FC,1/10/1940,Cronica femenina: Las mujeres gordas han insipirado las grandes pasiones ,La Prensa,Spanish,"El Paso, TX",,,,,,,
0035FC,6/28/1906,Pensamientos,Clarin Del Norte,Spanish,"El Paso, TX","""Hay muchas mujeres que serían muy amables si pudiesen olvidar un poco lo que son.-'Marivaux'... La severidad, en las mujers, es un encanto más que añaden á su belleza.-'La Rochefoucauld'... El primer amante de una mujer no es nunca el ùltimo.-'Dupay'... Hay pocas mujers que no hagan uso de la careta cuando les conviene ser descaradas.-'M. del Palacio'""",n/a,,,Random commentary about women and how they should act,,
0036FC,11/17/1906,La Educación De La Mujer,Clarin Del Norte,Spanish,"El Paso, TX","""La mujer es la cuna del hombre, más por la creación moral de sus sentimientos y pasiones que por la fïsica de su naturaleza corporal... La educación de la mujer es el tipo de la cultura y moralidad de las naciones; el termómetro de su civilización. La sociedad que quiera vivir la vida del bien y del reposo, del honor y de la felicidad, deje en paz los Códigos, no se agane inútilmente en las luchas estériles de la plaza pública... Si es madre habla y enseña; si es hija, sonrie y subyuga; si es esposa, llora y persuade; si es amante, puebla de sueños la fantasia y cautiva el corazón; pero siempre seduce, siempre domina, siempre impora con absoluta soberanía sobre el corazón y la vonluntad del hombre."" ",,,,,,
,,Cartas perdidad de Una suegra a otra suegra,,,,,,,,,,
